id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66
hd6i4,836,105,1265,105.0,1042.0,694.0,685.0,1464.0,105.0,1195.0,105.0,2883.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0dqo,10477,697,105,114.0,105.0,3427.0,694.0,7943.0,105.0,4491.0,105.0,4359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xrlw7,1292,606,603,5030.0,102.0,912.0,4835.0,610.0,883.0,611.0,867.0,1243.0,4073.0,104.0,3687.0,606.0,16989.0,1992.0,102.0,912.0,2082.0,709.0,629.0,7088.0,618.0,22154.0,1052.0,104.0,758.0,976.0,701.0,621.0,615.0,1736.0,102.0,912.0,1433.0,709.0,935.0,606.0,155.0,8700.0,104.0,,,,,,,,,,,,,,,,,,,,,,,
xlvl6,10477,697,979,20278.0,1027.0,103.0,10477.0,697.0,1265.0,102.0,10795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alolw,929,105,1042,105.0,849.0,103.0,867.0,105.0,1042.0,105.0,10795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7ele,21355,1059,103,4539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ztwyu,20242,8534,14151,1749.0,12516.0,1143.0,102.0,17980.0,1068.0,103.0,976.0,603.0,1433.0,709.0,4535.0,621.0,685.0,2207.0,8615.0,102.0,17980.0,1027.0,103.0,4275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y16by,1076,658,621,989.0,775.0,20022.0,1045.0,694.0,989.0,775.0,20022.0,1045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i3hds,760,1593,8615,102.0,21040.0,1080.0,103.0,10477.0,697.0,102.0,884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nsbmx,760,1165,105,4037.0,105.0,2581.0,694.0,685.0,2207.0,8615.0,105.0,108.0,105.0,2664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
odejo,760,1165,105,20278.0,995.0,735.0,760.0,1593.0,8615.0,105.0,15342.0,1068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rpbmy,760,1593,8615,102.0,17980.0,975.0,103.0,12516.0,1143.0,102.0,20278.0,1068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tqytf,760,1593,8615,102.0,1357.0,103.0,685.0,2207.0,8615.0,102.0,20022.0,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jigxl,867,105,1072,105.0,20022.0,977.0,735.0,867.0,105.0,1265.0,105.0,21355.0,1027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xs9e5,4347,105,111,105.0,21606.0,977.0,103.0,867.0,105.0,1159.0,105.0,17980.0,1068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bvqx3,10477,697,21040,1045.0,103.0,760.0,1165.0,886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
axa6e,10477,697,105,15342.0,1104.0,735.0,685.0,2207.0,8615.0,105.0,21355.0,1104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yr036,10477,697,992,102.0,8351.0,606.0,836.0,108.0,102.0,21040.0,1068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ewen2,1076,658,606,179.0,907.0,775.0,110.0,606.0,179.0,4691.0,108.0,4129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z3cnm,612,603,5030,912.0,4835.0,610.0,613.0,113.0,1159.0,4391.0,102.0,772.0,604.0,769.0,16989.0,912.0,2082.0,709.0,4782.0,606.0,16615.0,977.0,1052.0,724.0,104.0,1122.0,603.0,1702.0,1052.0,670.0,4556.0,701.0,102.0,912.0,1433.0,709.0,1331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h51yr,10477,697,929,102.0,15881.0,977.0,24438.0,697.0,975.0,10477.0,697.0,976.0,102.0,15881.0,1104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jc0xk,867,1042,21355,1045.0,694.0,929.0,4275.0,15881.0,977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amyb2,20278,977,102,907.0,108.0,103.0,20022.0,995.0,102.0,1042.0,4037.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yvhtg,20242,8534,14151,1749.0,12516.0,1143.0,102.0,21040.0,1059.0,103.0,1265.0,603.0,1433.0,709.0,4535.0,621.0,164.0,889.0,102.0,20278.0,1080.0,103.0,992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jkb3n,685,1464,113,102.0,10795.0,606.0,7943.0,1353.0,102.0,20022.0,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eya5s,1076,658,8690,1749.0,621.0,107.0,4187.0,20022.0,995.0,694.0,115.0,1042.0,21040.0,1045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfjo9,20242,8534,14151,1749.0,10686.0,10909.0,704.0,102.0,15342.0,1059.0,103.0,905.0,603.0,1433.0,709.0,4535.0,621.0,836.0,102.0,21355.0,977.0,103.0,1042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e65gt,10477,697,1455,102.0,20022.0,975.0,7362.0,2621.0,166.0,760.0,1593.0,8615.0,103.0,110.0,102.0,1130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ub6c8,20242,8534,14151,1749.0,12516.0,5451.0,4521.0,2669.0,102.0,910.0,103.0,979.0,603.0,1433.0,709.0,4535.0,621.0,12516.0,5451.0,4521.0,2669.0,102.0,20022.0,1059.0,103.0,1127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bgv3m,1076,658,2971,836.0,114.0,102.0,15881.0,977.0,735.0,12516.0,5451.0,976.0,102.0,21606.0,977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mk5yj,10477,697,105,21040.0,1071.0,103.0,10477.0,697.0,105.0,20278.0,1071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaljx,929,105,867,105.0,15881.0,1080.0,103.0,4347.0,105.0,114.0,105.0,21606.0,1045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aobxe,685,1464,102,21040.0,995.0,103.0,836.0,102.0,20278.0,1071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
betlf,609,1433,1338,621.0,2032.0,110.0,1243.0,605.0,1009.0,1371.0,613.0,3876.0,4004.0,1243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nx4f5,1076,658,606,179.0,3562.0,775.0,4425.0,606.0,179.0,4706.0,775.0,992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kcszd,10477,697,105,21355.0,1045.0,735.0,760.0,1593.0,8615.0,105.0,15881.0,1027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7k1v,867,105,1072,105.0,20278.0,1071.0,735.0,109.0,105.0,1243.0,105.0,17980.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dnb5m,10686,10909,704,105.0,1081.0,103.0,12516.0,5451.0,105.0,910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usgou,685,2207,8615,115.0,102.0,21355.0,1071.0,24438.0,697.0,975.0,685.0,1464.0,1042.0,102.0,15881.0,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s9586,4347,105,4037,105.0,21355.0,975.0,735.0,867.0,105.0,4037.0,105.0,21355.0,977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pjdqd,685,1464,105,1455.0,105.0,4167.0,694.0,760.0,1593.0,8615.0,105.0,109.0,105.0,1455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vy00a,630,15030,1693,613.0,106.0,4822.0,867.0,3115.0,117.0,603.0,1433.0,709.0,814.0,611.0,4692.0,701.0,605.0,23335.0,1777.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barpx,784,900,4146,107.0,637.0,109.0,992.0,4129.0,906.0,103.0,4117.0,112.0,4037.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rzn3p,164,17762,2613,105.0,17980.0,1059.0,103.0,10686.0,10909.0,704.0,105.0,15881.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
typck,3382,102,906,112.0,103.0,2032.0,102.0,1265.0,4004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f8pu2,10477,697,105,775.0,105.0,4073.0,694.0,836.0,105.0,1159.0,105.0,4187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nt4ev,836,976,102,15881.0,977.0,24438.0,697.0,1068.0,5289.0,760.0,1165.0,4004.0,102.0,20278.0,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokno,109,105,1126,105.0,15881.0,1045.0,103.0,4347.0,105.0,4037.0,105.0,17980.0,1059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poz5r,685,2207,8615,4129.0,102.0,21606.0,1080.0,24438.0,697.0,1068.0,5289.0,760.0,1165.0,108.0,102.0,21606.0,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guepx,17980,1068,102,1127.0,113.0,103.0,910.0,102.0,992.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r2dt9,685,1464,113,102.0,21355.0,977.0,7362.0,2621.0,166.0,685.0,1464.0,103.0,4275.0,102.0,21040.0,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tplzf,609,1433,1338,621.0,3246.0,4507.0,906.0,605.0,1009.0,1371.0,613.0,4103.0,775.0,867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
awvn1,7943,105,20278,1068.0,735.0,7943.0,105.0,21606.0,1059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ojztj,10477,697,1042,102.0,20022.0,1045.0,7362.0,2621.0,166.0,685.0,1464.0,103.0,1195.0,102.0,15342.0,1071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n9tzy,7943,21606,1068,103.0,685.0,1464.0,21040.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j63gr,760,1593,8615,102.0,20022.0,1080.0,103.0,10477.0,697.0,102.0,21040.0,1104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byajp,1001,989,4004,1042.0,1101.0,1243.0,775.0,102.0,4691.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cgwkf,21355,1027,103,21355.0,1027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr7fg,15881,975,103,2664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vefpa,760,1593,8615,992.0,102.0,15342.0,1080.0,24438.0,20645.0,161.0,824.0,685.0,2207.0,8615.0,1042.0,102.0,21040.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keia4,867,1353,868,606.0,109.0,905.0,15342.0,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ykzyf,685,2207,8615,105.0,906.0,105.0,2088.0,694.0,7943.0,105.0,1353.0,105.0,1353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yf7rx,929,105,979,105.0,21355.0,1027.0,103.0,867.0,105.0,1159.0,105.0,1004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rzsxe,10477,697,107,102.0,15881.0,1027.0,606.0,836.0,929.0,102.0,21040.0,1071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p661v,621,714,4556,4129.0,976.0,606.0,714.0,4073.0,775.0,867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zpemr,3542,709,1338,621.0,109.0,4491.0,1159.0,606.0,114.0,108.0,3562.0,102.0,607.0,1192.0,603.0,1433.0,760.0,9044.0,618.0,751.0,2475.0,102.0,603.0,3752.0,7508.0,4498.0,1736.0,604.0,603.0,1433.0,709.0,6532.0,618.0,16615.0,1059.0,1052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p1bpc,867,105,775,105.0,20022.0,1045.0,103.0,111.0,105.0,1012.0,105.0,20278.0,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ywgsp,867,105,1127,105.0,21355.0,1045.0,735.0,929.0,105.0,775.0,105.0,20022.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zt3gy,1076,658,3316,836.0,105.0,1159.0,105.0,1042.0,822.0,836.0,105.0,1127.0,105.0,4603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fnykc,20022,1080,103,1117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rlhsp,758,2088,975,1052.0,604.0,750.0,104.0,609.0,14409.0,26671.0,610.0,883.0,606.0,2646.0,613.0,4004.0,1159.0,4942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t57gw,1076,658,2971,164.0,4154.0,929.0,102.0,20022.0,1080.0,735.0,169.0,4822.0,1072.0,102.0,20022.0,1045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vehia,1076,658,643,1725.0,3675.0,1001.0,12516.0,5451.0,114.0,1042.0,1101.0,685.0,2207.0,8615.0,976.0,102.0,4167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jqcng,836,112,102,17980.0,975.0,7362.0,2621.0,166.0,7943.0,103.0,1353.0,102.0,21606.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w9wcf,760,1165,105,20022.0,977.0,103.0,685.0,2207.0,8615.0,105.0,849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5buu,609,1433,21169,610.0,1128.0,621.0,164.0,2988.0,979.0,1455.0,606.0,111.0,110.0,1265.0,104.0,630.0,1192.0,604.0,13308.0,102.0,695.0,709.0,4194.0,20785.0,1052.0,606.0,603.0,1009.0,15638.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kzg9i,10477,697,105,979.0,105.0,21606.0,1104.0,103.0,685.0,1464.0,105.0,1195.0,105.0,1357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed823,760,1593,8615,992.0,102.0,15342.0,1068.0,24438.0,20645.0,161.0,824.0,685.0,2207.0,8615.0,114.0,102.0,15881.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i649b,976,102,4187,110.0,103.0,4465.0,102.0,108.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zj8rr,131,709,23290,906.0,611.0,1990.0,621.0,164.0,17762.0,2613.0,1127.0,102.0,833.0,606.0,12516.0,5451.0,979.0,102.0,946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sqdtl,630,913,614,603.0,5030.0,102.0,912.0,4835.0,610.0,4033.0,611.0,4347.0,110.0,4391.0,104.0,3687.0,606.0,16989.0,4365.0,102.0,912.0,2082.0,709.0,629.0,14296.0,618.0,5079.0,1052.0,104.0,758.0,3493.0,701.0,621.0,843.0,1052.0,102.0,912.0,1433.0,709.0,935.0,606.0,626.0,822.0,104.0,,,,,,,,,,,,,,,,,,,,,,
sld1l,109,775,21355,1059.0,103.0,867.0,929.0,21040.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xsedj,622,97,173,1471.0,775.0,10477.0,697.0,3362.0,117.0,603.0,1465.0,608.0,908.0,2088.0,1308.0,3065.0,701.0,1903.0,102.0,605.0,709.0,2646.0,8377.0,1068.0,1052.0,724.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ggcwj,929,1072,15342,1068.0,103.0,867.0,979.0,15881.0,1027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rum16,1012,102,4037,108.0,103.0,4899.0,102.0,992.0,4004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j8gx3,3542,709,1338,621.0,4037.0,992.0,4899.0,606.0,114.0,1012.0,905.0,102.0,607.0,1192.0,603.0,1433.0,760.0,9044.0,618.0,751.0,2475.0,102.0,603.0,3752.0,7508.0,4498.0,1736.0,604.0,603.0,1433.0,709.0,6532.0,618.0,4073.0,1104.0,1052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wy3gu,7943,105,906,105.0,4391.0,694.0,685.0,1464.0,105.0,112.0,105.0,4350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapdo,7943,105,775,105.0,1159.0,694.0,685.0,1464.0,105.0,114.0,105.0,4556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wy6g8,109,1195,20022,1045.0,103.0,929.0,4037.0,978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdz65,685,2207,8615,17980.0,1104.0,103.0,760.0,1165.0,17980.0,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
un2yz,760,1593,8615,102.0,884.0,103.0,12516.0,5451.0,102.0,17980.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y1ino,609,1433,610,883.0,606.0,2646.0,613.0,4275.0,1126.0,2088.0,102.0,15875.0,614.0,13290.0,995.0,1052.0,604.0,750.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uwie1,685,2207,8615,102.0,10795.0,103.0,685.0,2207.0,8615.0,102.0,869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ink9z,131,709,23290,906.0,611.0,1990.0,621.0,12516.0,1143.0,1042.0,102.0,17980.0,1080.0,606.0,836.0,4004.0,102.0,15881.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nzlec,7943,1012,102,20022.0,1027.0,24438.0,697.0,975.0,685.0,2207.0,8615.0,867.0,102.0,15881.0,1027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m164o,10477,697,105,15342.0,977.0,735.0,836.0,105.0,910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bni5t,760,1593,8615,4347.0,102.0,15881.0,1104.0,7362.0,2621.0,166.0,836.0,103.0,907.0,102.0,21355.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peeca,1076,658,2971,164.0,2988.0,1353.0,102.0,21606.0,1071.0,735.0,106.0,4822.0,4507.0,102.0,20278.0,1104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lza09,836,105,4275,105.0,15342.0,975.0,103.0,760.0,1593.0,8615.0,105.0,775.0,105.0,20022.0,1045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k3224,867,105,1126,105.0,20022.0,1104.0,735.0,4347.0,105.0,1243.0,105.0,21355.0,1045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccrlt,929,905,21606,995.0,103.0,867.0,1455.0,20278.0,1104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nngvr,1076,658,2971,760.0,1165.0,4275.0,102.0,15342.0,1027.0,735.0,7943.0,867.0,102.0,15342.0,977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phuf3,929,105,1159,105.0,21040.0,977.0,735.0,867.0,105.0,110.0,105.0,20278.0,1071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cv4q3,7943,115,102,20022.0,1045.0,7362.0,2621.0,166.0,10477.0,697.0,103.0,109.0,102.0,20022.0,1059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qi896,1076,658,8690,1749.0,621.0,867.0,4037.0,21606.0,1071.0,694.0,867.0,979.0,21040.0,977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0jwh,867,4275,20278,1104.0,103.0,929.0,907.0,21040.0,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dnnfd,685,1464,105,17980.0,1045.0,735.0,836.0,105.0,21606.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kh3tq,685,2207,8615,1159.0,102.0,21355.0,1045.0,7362.0,2621.0,166.0,10477.0,697.0,103.0,1127.0,102.0,17980.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k7efq,867,105,112,105.0,20278.0,1071.0,735.0,929.0,105.0,4275.0,105.0,17980.0,1068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xzt5n,760,1165,1126,102.0,871.0,24438.0,20645.0,161.0,824.0,760.0,1593.0,8615.0,1195.0,102.0,20022.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bzljp,867,1126,884,606.0,929.0,4037.0,868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jvj8n,1338,113,111,906.0,117.0,8355.0,610.0,4359.0,701.0,102.0,15491.0,1777.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trzl6,4347,4425,15881,1080.0,103.0,111.0,1455.0,15342.0,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1bo8,7943,105,4507,105.0,17980.0,975.0,103.0,685.0,1464.0,105.0,775.0,105.0,15881.0,1071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z1p84,685,1464,1243,102.0,15881.0,1071.0,7362.0,2621.0,166.0,760.0,1593.0,8615.0,103.0,905.0,102.0,833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tsxz3,609,10211,8430,1391.0,709.0,1338.0,621.0,1743.0,604.0,12516.0,5451.0,4521.0,2669.0,102.0,4706.0,606.0,603.0,814.0,604.0,867.0,2125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yffne,4491,105,907,105.0,21606.0,1071.0,103.0,929.0,105.0,112.0,105.0,15881.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhb7h,5032,102,111,113.0,103.0,3889.0,102.0,1159.0,775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cjxms,131,709,23290,906.0,611.0,1990.0,621.0,10686.0,10909.0,704.0,1012.0,102.0,20022.0,975.0,606.0,12516.0,1143.0,775.0,102.0,21355.0,1068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
